"Rk,Player,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS"
"1,Devin Vassell\devin-vassell-1,30,30,28.8,4.8,9.8,.490,3.3,6.3,.532,1.5,3.5,.415,1.6,2.2,.738,1.3,3.8,5.1,1.6,1.4,1.0,0.8,1.9,12.7"
"2,Trent Forrest\trent-forrest-1,31,31,30.9,4.2,9.1,.459,3.7,7.3,.504,0.5,1.8,.281,2.7,3.3,.822,1.1,3.3,4.4,4.0,1.9,0.6,3.0,1.5,11.6"
"3,M.J. Walker\mj-walker-1,26,24,25.2,3.3,8.8,.371,1.6,4.1,.383,1.7,4.7,.361,2.3,2.9,.803,0.2,1.5,1.7,1.5,0.8,0.2,1.5,2.3,10.6"
"4,Patrick Williams\patrick-williams-2,29,0,22.5,3.3,7.1,.459,2.7,5.4,.503,0.6,1.7,.320,2.1,2.6,.838,1.3,2.7,4.0,1.0,1.0,1.0,1.7,1.6,9.2"
"5,Raiquan Gray\raiquan-gray-1,29,24,19.5,2.0,5.1,.392,1.7,3.7,.458,0.3,1.4,.220,1.7,2.4,.696,1.0,2.8,3.8,1.4,1.1,0.7,1.8,2.3,6.0"
"6,Malik Osborne\malik-osborne-1,31,28,19.3,2.3,5.0,.461,1.6,3.1,.521,0.7,1.9,.362,0.7,1.3,.590,1.9,3.0,4.9,0.5,0.6,0.7,0.6,1.8,6.0"
"7,Anthony Polite\anthony-polite-1,31,8,19.7,2.0,5.0,.406,0.9,1.9,.492,1.1,3.1,.354,0.6,0.9,.679,0.8,2.2,2.9,1.1,1.2,0.2,1.2,1.5,5.8"
"8,Balsa Koprivica\balsa-koprivica-1,27,0,10.3,1.9,2.7,.699,1.9,2.7,.699,0.0,0.0,,0.9,1.4,.658,1.1,1.3,2.4,0.3,0.3,0.3,0.6,1.5,4.7"
"9,Dominik Olejniczak\dominik-olejniczak-1,29,9,10.7,1.9,3.1,.611,1.9,3.1,.611,0.0,0.0,,0.4,0.7,.684,1.1,1.1,2.3,0.1,0.3,0.6,0.9,1.6,4.2"
"10,Wyatt Wilkes\wyatt-wilkes-1,28,1,9.1,1.2,3.0,.410,0.4,0.7,.500,0.9,2.3,.381,0.2,0.2,1.000,0.4,0.6,1.0,0.5,0.3,0.1,0.5,0.9,3.5"
"11,Nathanael Jack\nathanael-jack-1,13,0,5.7,1.2,2.9,.395,0.3,0.4,.800,0.8,2.5,.333,0.2,0.2,1.000,0.2,0.7,0.8,0.4,0.1,0.0,0.4,1.1,3.3"
"12,RayQuan Evans\rayquan-evans-1,30,0,11.1,1.0,2.3,.456,0.8,1.7,.471,0.2,0.6,.412,0.8,1.1,.727,0.2,1.0,1.2,1.4,0.3,0.1,0.8,0.7,3.1"
"13,Travis Light\travis-light-1,9,0,1.7,0.3,0.9,.375,0.0,0.0,,0.3,0.9,.375,0.2,0.2,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2"
"14,Justin Lindner\justin-lindner-1,9,0,2.1,0.4,0.4,1.000,0.3,0.3,1.000,0.1,0.1,1.000,0.2,0.2,1.000,0.1,0.6,0.7,0.4,0.0,0.0,0.6,0.3,1.2"
"15,Harrison Prieto\harrison-prieto-1,10,0,3.5,0.4,0.8,.500,0.4,0.7,.571,0.0,0.1,.000,0.1,0.4,.250,0.6,0.4,1.0,0.1,0.1,0.2,0.2,0.5,0.9"
"16,Will Miles\will-miles-1,9,0,1.8,0.1,0.4,.250,0.1,0.3,.333,0.0,0.1,.000,0.0,0.0,,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.2,0.2"
"17,Ty Hands\ty-hands-1,2,0,1.5,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0"
"18,Cleveland Yates\cleveland-yates-1,6,0,1.2,0.0,0.2,.000,0.0,0.2,.000,0.0,0.0,,0.0,0.0,,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0"