Rk,Player,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Devin Vassell,30,30,863,144,294,0.49,100,188,0.532,44,106,0.415,48,65,0.738,38,114,152,49,42,29,23,58,380
2,Trent Forrest,31,31,959,130,283,0.459,114,226,0.504,16,57,0.281,83,101,0.822,34,102,136,124,59,18,92,45,359
3,M.J. Walker,26,24,656,85,229,0.371,41,107,0.383,44,122,0.361,61,76,0.803,6,38,44,38,20,6,38,60,275
4,Patrick Williams,29,0,653,95,207,0.459,79,157,0.503,16,50,0.32,62,74,0.838,38,78,116,29,29,30,50,47,268
5,Malik Osborne,31,28,598,71,154,0.461,50,96,0.521,21,58,0.362,23,39,0.59,59,94,153,14,19,23,20,57,186
6,Anthony Polite,31,8,612,63,155,0.406,29,59,0.492,34,96,0.354,19,28,0.679,24,67,91,35,37,7,36,48,179
7,Raiquan Gray,29,24,565,58,148,0.392,49,107,0.458,9,41,0.22,48,69,0.696,30,81,111,40,31,19,51,67,173
8,Balsa Koprivica,27,0,278,51,73,0.699,51,73,0.699,0,0,,25,38,0.658,31,34,65,8,9,7,17,41,127
9,Dominik Olejniczak,29,9,310,55,90,0.611,55,90,0.611,0,0,,13,19,0.684,33,33,66,4,9,16,26,46,123
10,Wyatt Wilkes,28,1,255,34,83,0.41,10,20,0.5,24,63,0.381,5,5,1,11,18,29,15,8,2,14,26,97
11,RayQuan Evans,30,0,332,31,68,0.456,24,51,0.471,7,17,0.412,24,33,0.727,5,30,35,42,8,3,25,22,93
12,Nathanael Jack,13,0,74,15,38,0.395,4,5,0.8,11,33,0.333,2,2,1,2,9,11,5,1,0,5,14,43
13,Travis Light,9,0,15,3,8,0.375,0,0,,3,8,0.375,2,2,1,0,0,0,0,0,0,0,0,11
14,Justin Lindner,9,0,19,4,4,1,3,3,1,1,1,1,2,2,1,1,5,6,4,0,0,5,3,11
15,Harrison Prieto,10,0,35,4,8,0.5,4,7,0.571,0,1,0,1,4,0.25,6,4,10,1,1,2,2,5,9
16,Will Miles,9,0,16,1,4,0.25,1,3,0.333,0,1,0,0,0,,1,0,1,1,0,0,1,2,2
17,Ty Hands,2,0,3,0,1,0,0,0,,0,1,0,0,0,,0,1,1,0,0,0,0,1,0
18,Cleveland Yates,6,0,7,0,1,0,0,1,0,0,0,,0,0,,0,1,1,0,0,0,0,0,0
,School Totals,31,,6250,844,1848,0.457,614,1193,0.515,230,655,0.351,418,557,0.75,350,749,1099,409,273,162,410,542,2336